distance,alpha,order,pdet,eps,eps_err
3,0.0827,2,0.3371707,0.013757706304315775,0.00012022180283498618
3,0.0827,2,0.0622082,0.003034830744797379,2.87768671014128e-05
3,0.0827,2,0.1862968,0.009630944161623467,7.592650564431664e-05
3,0.0827,2,0.3197242,0.01771369373887899,0.000182648201833931
3,0.0827,2,0.1835786,0.005480319959089763,4.434743358799663e-05
3,0.0827,2,0.0722939,0.0036280854184588818,3.249592312999504e-05
3,0.0827,2,0.0964982,0.0038713100472017037,3.402062343765653e-05
3,0.0827,2,0.1260021,0.006860399534960815,5.385108484815084e-05
3,0.0827,2,0.2152442,0.0036888492536181205,3.2876541911688776e-05
3,0.0827,2,0.2950373,0.009070135827611181,7.106210649061943e-05
3,0.0827,2,0.1897796,0.004207596766336308,3.613730578305898e-05
3,0.0827,2,0.0526628,0.0019779043668310403,2.1967512456045458e-05
3,0.0827,2,0.1020978,0.0036673109228595457,3.274161208245747e-05
3,0.0827,2,0.1860885,0.009856516053256936,7.794852544215842e-05
3,0.0827,2,0.2211945,0.010647822540987284,8.536031962423674e-05
3,0.0827,2,0.1373098,0.00394003690551431,3.445220562386373e-05
3,0.0827,2,0.0610668,0.0021076949028467906,2.283072360070886e-05
3,0.0827,2,0.0722171,0.005646073276670216,4.5450043523459854e-05
3,0.0827,2,0.1276942,0.004385259920615947,3.726179806304873e-05
3,0.0827,2,0.2274225,0.008040009758608913,6.26819812525861e-05
3,0.0827,2,0.1709045,0.009557556089912544,7.52769303416255e-05
3,0.0827,2,0.0556432,0.002457805224485965,2.511182176515454e-05
3,0.0827,2,0.0359311,0.001139349470275719,1.5971287406633743e-05
3,0.0827,2,0.0332152,0.0009912543955842845,1.4786436388168636e-05
3,0.0827,2,0.0466574,0.0014897393222146338,1.8590912201410806e-05
3,0.0827,2,0.0745743,0.003109492001308223,2.9246225697581315e-05
3,0.0827,2,0.0793923,0.00355576017740028,3.204302358982189e-05
3,0.0827,2,0.064713,0.0034412152739817237,3.132584295512081e-05
3,0.0827,2,0.0808682,0.003160391911692373,2.956584395557291e-05
3,0.0827,2,0.1561466,0.0042375984474544715,3.632684645835574e-05
3,0.0827,2,0.1890328,0.004962532857800128,4.095846832592616e-05
3,0.0827,2,0.1045307,0.0029671384760021624,2.835066695035951e-05
3,0.0827,2,0.0354968,0.0013387769220168377,1.748863496825462e-05
3,0.0827,2,0.0336687,0.0009470451002995817,1.442089468768269e-05
3,0.0827,2,0.0452697,0.0014797901875158725,1.8519306603232464e-05
3,0.0827,2,0.0747535,0.0021966410124738545,2.3416175148189725e-05
3,0.0827,2,0.0749419,0.001998812889033419,2.2107348489745396e-05
3,0.0827,2,0.0527366,0.0017362275923442083,2.0325731639211048e-05
3,0.0827,2,0.0564026,0.0018543081646858472,2.113410526476498e-05
3,0.0827,2,0.0495583,0.0015914060815227504,1.931513834787041e-05
3,0.0827,2,0.0382994,0.001028574491924894,1.5090507597320299e-05
3,0.0827,2,0.0467136,0.0011846281560011218,1.6322872560600817e-05
3,0.0827,2,0.0588694,0.0015393988444486473,1.8946321731243607e-05
3,0.0827,2,0.0474705,0.0014111064264236695,1.802111134423144e-05
3,0.0827,2,0.03162,0.0011237057026779462,1.5848736303598158e-05
3,0.0827,2,0.0303679,0.0008781456003856825,1.3838551332483077e-05
3,0.0827,2,0.0333844,0.0008452821105185415,1.3554835650013802e-05
3,0.1653,2,0.3476869,0.024723106116255555,0.0003782463884262102
3,0.1653,2,0.0814875,0.004310395514652399,3.678733033691506e-05
3,0.1653,2,0.215759,0.017039307620246524,0.00017020386248575405
3,0.1653,2,0.3508674,0.02083474198846824,0.00025272563160715696
3,0.1653,2,0.1970525,0.007486801555850908,5.84476617585033e-05
3,0.1653,2,0.081382,0.004630260065021319,3.8821799107257375e-05
3,0.1653,2,0.1134231,0.00456766732270647,3.8422113432967235e-05
